review,sentiment
"pardon my spelling. This is probably the funniest horror movie that ever existed. Think evil dead * 1000. The acting is horrible, you can see the makeup line on a certain lady's face. there is a lesbian scene, which makes no sense at-all. And the ending, haha ohhhh the ending... be prepared to have your stomach hurting from laughter. Now if you watch this film for more then 5 minutes and are still expecting something, take a look at your self, and ask what the hell is wrong with you. This is a very bad movie, meant to laugh at and enjoy for its pure silliness.<br /><br />Don't forget to watch all the outtakes after the movie, you can see just how low budget the whole thing really was. All in all this movie is a rare gem in demonstrating the pure and udder lack of talent/care/ability/money/ and anything else you would ever need to make a successful film. But its definitely worth watching.",negative
"I am usually a big fan of Pacino (Scarface, Serpico, Devils advocate) but since Scent of a woman he pretty much plays the same role and shouts a lot. This movie had no endearing characters to warm to. Brandon played by Bongo McConnahey is the least likable of the bunch. He nowhere even approached a real human being. Pacino was hopelessly unlikeable and my goodness how old is Renee Russo? The only high light of this wretched mess was the hot hooker with the perfect lipstick and she has like 10 lines total. Even the usually reliable Jeremy Piven was utterly unlikeable.<br /><br />Note to writers of movies, they do not usually work unless one of the main characters is at least a bit likable (noteable exception Scarface). As the movie closes and old Brandon is at the airport my only thought was, please let a plane crash into the airport and kill Brandon.",negative
"In the opening scenes of this movie a man shot arrows through his hotel room into another man's bathroom and blew out all the lights. This must have been very hep for 1936, but rather way way out and had nothing to do with the film, Robin Hood did not make an appearance as far as I could see. However, Bette Davis(Daisey Appleby),""The Whales of August"",'87 was very young and attractive and performed one of her best roles in a long career in Hollywood. Daisey never stopped teasing or being very sexy with her nightgowns and so called swim suit on her yacht with George Brent(Johnny Jones),""The Spiral Staircase"",'46. Daisey even proposed marriage to Johnny in a Ferris Wheel upside down and even got a black eye. Davis and Brent made a great couple, one suppose to be very rich and the other a very poor reporter. Off stage, Davis and Brent were having a real torrid love affair, which is good reason why there was sparks when these two appeared in this film. If you liked Bette Davis and George Brent, this is the film for you!",positive
"i love this movie. is it on air anymore? what can i do to get it on air again because i miss this movie when does this movie air again? i love this movie so much. does anyone know how long it has been since it was last on Disney?it has been a very very long time and i am so sick of waiting!i want to see Susie Q again. i swear, they take all the good movies off air and play new stupid gay ones that are fake and retarded. i miss this movie, wish upon a star, Kazaam with Shaquille O'neil, and a bunch more. where did all the good movies go? i want them back.i miss all the good movies and they don't have them anymore. if anybody finds out if Susie Q or any good old Disney movie comes out will you please let me know, my email is girlygirl148@aol.com girlygirl(no blank space)148. thank you and i hope you want this movie back too. have a great day",positive
"This was indeed an amazing adaption. I missed the first episode so I unfortunately missed out on the bonding between the characters and the smooth flow of the storyline. But as soon I watched the second and then the third instalment I was just blown away. I ordered the DVD less than a week later and unable to wait for it to come I went straight out and brought the book. From the moment I opened it I was hooked, I just couldn't put it down. I decided to finish the whole book before I dare watch the DVD at all. I preferred the book because it got inside the characters minds, you could understand totally where they were coming from and what there role was within the story. They missed a lot out of the adaption which was disappointing as the book is a master piece and I think they could have done it superbly if they had been able to stretch it over a longer period of time. But considering only being able to be fitted into a 3 hour slot I think it was done excellent. It followed the main twisted storyline brilliantly. And the actors which were enrolled as the main characters where amazing! The love making scene was pure beautiful. It was so tender and loving and just showed how natural homosexual love can be. I was totally blown away with both the book and the TV adaption! I loved both of Sarah Waters previous novels and also found the Tipping the Velvet adaption quite enjoyable. But when I read and watched Fingersmith I knew none of her previous novels/adaption could beat it. Sarah Waters has indeed exceeded herself this time! I recommend that you watch this adaption! If Tipping the Velvet wasn't your thing, then don't let it put you off this one. Fingersmith is a whole new ball game. It is a beautiful yet dark twisted story about love, greed and betrayal...<br /><br />A MUST SEE!",positive
"I had completely forgotten about ""Midnight Madness"" until just now when I found it while surfing the IMDB. Now, it's all coming back to me....<br /><br />It was one of Naughton's first movies (as well as Fox's) and sharp-eyed connoisseurs will also pick out Kaplan (Henry from TV's ""Alice""), Fiedler (he does the voice of Piglet in the ""Winnie the Pooh"" cartoons) and Blocker (son of Dan ""Hoss"" Blocker from TV's ""Bonanza"").<br /><br />But the two that stand out in my mind are Furst (from ""Animal House"") and the superdude himself - Eddie Deezen. Furst plays a baddie this time out and has one of the best scenes when he asks his dad, ""Why can't you just accept me for who I am?"" His dad looks over his obese, slovenly frame and gives a simple, one-word response - ""Yuck!""<br /><br />And Deezen... well, he's a show in himself. As a latter-day Jerry Lewis he stumbles around, wades through mini-golf ponds, puts melon halves on his ears and ends up having Maggie Roswell fall for him. My hero.<br /><br />As for the film, it's typical early-'80s stupidity with college kids staying up after curfew and going on a city-wide scavenger hunt to prove which division of students is the best on campus: the jocks, the nerds, the rich kids, the feminists or the group made up of a little of each. <br /><br />Who wins? Who cares, you'll have a lot of fun watching Disney Pictures' first foray into PG territory before creating Touchstone Pictures.<br /><br />Seven stars. Catch ""Midnight Madness"" any way you can!<br /><br />Long live Leon!",positive
"I'll never understand why when a studio like Universal buys a musical it then butchers it when bringing it to screen. My first thought when seeing Ava Gardner and Robert Walker were starring I would be seeing something from MGM which did musicals best at that time. Boy was I wrong and disappointed.<br /><br />One Touch Of Venus which starred Mary Martin, Kenny Baker, and John Boles on Broadway ran for 567 performances in the 1943-1945 season and Gardner, Walker, and Tom Conway play the roles that Martin, Baker, and Boles did on stage. The Kurt Weill-Ogden Nash musical with book by Nash and S.J. Perelman was a comeback vehicle for Mary Martin who reestablished herself as the Queen of Broadway after a disappointing venture in Hollywood. <br /><br />Look at the names that went into this show. Given who was responsible for the book I expected to see some sparkling wit in this production. Instead I got a rather pedestrian screenplay, it was like all the wit was drained out of it. Doing her best to make up for it is Eve Arden playing her usual girl Friday role with Tom Conway, but it's even too much for Eve.<br /><br />The story concerns department store window dresser Robert Walker who kisses a very valuable statue of Venus who springs to life in the person of Ava Gardner. Of course when the statue goes missing, Conway yells for the law and is suspicious of Walker, the last person to be with the statue. <br /><br />The rest of the film is Walker dealing with Gardner and what will happen to both of them. For reasons I don't understand, Ava was of course dubbed by Eileen Wilson and Walker sings only a couple of lines. The singing is carried by Dick Haymes and Olga San Juan playing Walker's friends and coworkers. Of course on Broadway the songs were done by singers Mary Martin and Kenny Baker. You would kind of think that Haymes would be playing Walker's role at least. It was awkward to say the least.<br /><br />Only three songs survived from the score, Don't Look Now, But My Heart Is Showing, That's Him, and the incomparable Speak Low. Haymes's silken baritone is shown to best advantage in Speak Low which was sung as a duet by Martin and Baker on Broadway. For some reason the lyrics of one of the greatest men of verse of the last century, Ogden Nash, were done over by Ann Ronnell. I suspect the infamous Code was at work here.<br /><br />In Lee Server's biography of Ava Gardner he makes mention of a brief fling Ava had with Robert Walker when she had had a spat with her current man, Howard Duff. When Duff and Gardner reunited, Walker took it badly and didn't speak at all to Gardner off camera. I'm sure the fact that both of them were not in their best work didn't help matters either.<br /><br />Hopefully some repertoire company will do One Touch Of Venus and you'll get to see it the way, Weill, Nash, and Perelman wrote it.",negative
"I agree with what so many others have said about the shallow and offensive nature of this film's examination of racism. It is baffling to me that so many people seem to have been fooled by its pretentiousness. I want to comment on the Matt Dillon character as an example of what's most infuriating about this movie. Here we have a man who -- contrasted with the film's underlying message that ""we're all a LITTLE racist"" -- effectively rapes a woman in public, cruelly humiliating her husband and deliberately goading him to make a move that, as he well knows, will lead to his arrest or even death. He does all this after pulling the couple over without any legal cause but because, as we come to understand, they are black and wealthy and he is a hurt little boy who is now the police and can therefore do as he pleases. This behavior is not a LITTLE racist. This behavior is evil. It is disturbing to me that this extreme of racism is held up next to another character's behavior -- spouting her paranoid stereotypes about gang violence -- to illustrate that everybody's a LITTLE racist. Later, we're spoon-fed some tripe about Dillon's poor old dad and how black folks drove him into the poor house. Is this supposed to explain, or worse, excuse this behavior? And is Dillon's character meant to redeem himself by committing the utterly unmotivated and unbelievable, laughably coincidental act of saving the woman he sexually assaulted the very night before? Please. The fact that so many people seem to feel some kind of self-congratulatory admiration for this film makes me feel sad about the shallowness of our understanding of racism, and our apparent lack of commitment to condemning and ending it.",negative
"Well, EYEboy, I must say that it pleases me to no end when someone singles me out and tries to make fun of me, especially when it is someone who seems as intelligent as you do. My favorite part of your post was ""But no big bang-bang good-guy bad-guy here, kimosabe. Me suggest you stick to movie with lotsa bang bang.""<br /><br />Well said! I do like action movies, especially if they are well done, but I also like movies that don't have a whole lot of action, as long as THEY are well done. I'm sorry, but Secret's and Lies does not fit into that category and is simply a very bad movie. I really don't see very many non-American films, so maybe I was spoiled, and didn't realize how bad foreign films really were when I saw Secrets and Lies. Perhaps if I judge foreign movies by a different standard I could some day see how Secrets and Lies could possibly be one of the highest rated movies on the IMDB. Hmm... If true, that is very scary.<br /><br />Jeremy Barger bits@midohio.net(new e-mail)",negative
"I haven't seen so many people packed outside a theater since Star Wars Episode III. Both shows sold out, and for good reason. The Man With the Screaming Brain was the best movie to see with a crowd full of geeks. (Hey, I'm a dork too.) <br /><br />Bruce Campbell was present and had the whole crowd in stitches! The movie was cheesy in the best possible way. It may be the funniest movie that Bruce has done. Ted Raimi steals the show with his Bulgarian hip hop-itude and zany facial expressions, he is a laugh riot! Who knew that Ted could rap? <br /><br />I changed my mind, the person who stole the show was actually a robot. There is nothing funnier than a robot...doing the robot.<br /><br />As for Bruce's performance: ""I take the 5th."" Thanks Bruce. Thanks for being cool, thanks for taking the time, thanks for all of the fun.",positive
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Alice, having defeated Freddy at the end of the last film, is now trying to re-adjust her life. But her unborn child is carrying a demonous presence- Freddy, trying to come out into their world again.<br /><br />It's interesting to note the directors who got their big breaks directing Freddy films- Charles Russell (Eraser, The Mask) Renny Harlin (The Long Kiss Goodnight, Cutthroat Island, Cliffhanger, Die Hard 2) and here Stephen Hopkins (Lost in Space, Predator 2.) But while Russell and Harlin made a good job of it, Hopkins IMO has made something of a podge with this entry, that should be quickly forgotten.<br /><br />The story is clearly being stretched as far as it can go here, with Freddy ludicrously a father himself and the ridiculous looking demon baby. Even at about an hour and a half, it all gets rather tiresome, and of course, not scary at all.<br /><br />The ""bon appetit, bitch"" catch-phrase is the only memorable point of this other wise very forgettable entry. *",negative
"""Sir"" has played Lear over 200 times,but tonight he can't remember his opening lines.Sitting at the mirror,his eyes reflect the King's madness. His dresser prompts him gently,mouthing the words.There is an air of desperation about both these men.The great actor knowing his powers are slipping away,his valet cum major domo cum conscience cum surrogate wife - aware of his boss's decline into madness and knowing he is powerless to do more than ease his passing. ""The Dresser"" is really a love story between the two.Over the years they have become mutually dependent on one another to the extent that neither can conceive a future without the other. Set during the second world war,it concerns the fortunes of a frankly second - rate touring Shakespearean Company comprising an equal number of has - beens and wannabes led by ""Sir"", a theatrical knight of what might kindly be called ""The Old School"".Whatever part he is playing he grabs centre - stage and bellows out over the footlights,bullying his audience into applause.But,somewhere inside him,buried most of the time deep beneath the ham he regularly dishes out,there still remains an occasional glitter of his earlier greatness.It is to catch a glimpse of this that his audiences fervently hope for. Mr A.Finney very cleverly concentrates on the ham,often to the point of caricature,and,just when you are ready to dismiss his performance as mere hyperbole and bluster he will produce a moment of exquisite subtlety and vulnerability that makes you realise that a great actor is playing a great actor. The same goes for Mr T.Courtenay.It's easy to write off his portrayal<br /><br />of Norman as an exercise in stereotyping.Here we have a middle - aged effeminate rather than camp theatrical dresser sashaying his way through life,enjoying the company of ""The Girls"" and loving the wicked Insider gossip rife in ""The Theatre"".There were - and I strongly suspect still are - many men just like Norman in The Profession.Infinitely kind and patient,knowing more about the plays than many of the actors,they run backstage with wisdom and affection.I believe the vast majority of them would hoot with approving laughter at Mr Courtenay's portrait. I saw ""The Dresser"" on the London stage where,against the perceived wisdom,Mr Courtenay's ""Norman"" was rather more subdued than in the movie.""Sir"" was played by the great Mr Freddie Jones to huge acclaim from the audience.It was a memorable performance that overshadowed Mr Courtenay's,reducing him rather to an ""also - ran"" as opposed to an actor on level - billing.The idea that ""Sir"" and ""Norman"" might be almost incomplete without each other went right out of the window. ""Norman"" was reduced to being his puppet,which I'm not sure was what Ronald Harwood intended,but made for breathtaking theatre. Messrs Finney and Courtenay redress the balance in the movie,restoring equality to the relationship. Both men have come a long way since their early appearances in the British ""New Wave"" pictures when they became the darlings of the vaguely Leftish,""middle - class and ashamed of it"" movement.When the British cinema virtually committed Hari - kiri in the 1970s they quietly concentrated on the theatre apart from a few roles to keep the wolf from the door.With the renaissance of more substantial movies,they re - appeared,blinking in the unaccustomed bright light.<br /><br />""The Dresser"" marked their return,still fizzing with energy and talent, shouting to the world at large ""We're still here"".It's not a big movie but is assuredly a great one.",positive
"This movie is horrible, but you have to see it because of that. I'm not here to discuss the entire film, just the greatest chase scene ever. When Eddie dumbs milk on Tim, he gets chased down the hallway. Eddie puts obstacles in the jocks way with hilarious consequences (like a cymbal nailing a trumpet player; buy the DVD and watch it slow). The best obstacle is a knocked over mop bucket which one jock jumps over but proceeds to slide on the ground out a door. But when he slides he picks up speed thus defying physics (mainly friction); yet what lies behind the door is supreme. The steepest stair case in any school ever, which this jock proceeds to CLEAR in the air. In reality he probably would die of a broken neck. Not only does he defy all concepts of reality, he makes the funniest noise ever made in that situation. Go and buy this one. Trust me this scene is worth your 6 bucks.",positive
"I remember that the trailer for Legend of Zu was quite impressive and being a fan of A Man Called Hero (my all time favourite), Storm Riders I decided that I must watch this one too. I know that there is way to much critcism on Ekin Cheng's acting ability everywhere but he is my favourite Hong Kong moviestar so far (way better than Nicolas Tse nevertheless)and he is one of the factors that I enjoyed this movie. Without a doubt this film is a work of art from the beginning to the end. I even thought that only the actors were real and everything else was computer generated by the end of this film. They must have put a lot of work into this one and they deserve good credit for that. The storyline of the movie was a fairytale between good and evil with a love story thrown in (I guess Ekin Cheng pulls the girls easily).The story is not very intellectual and deep but that is not what you expect when watcing an action movie. I wished there were more martial arts action with fists and fist instead of battles with magical abilities, but well that's life and it never goes the way you want it to. And why did they sound like supersonic planes in the battle through the sky in the end ? That's way too funny. Legend of Zu cannot be A Man Called Hero in my eyes but it flows like a videogame and that is not a bad thing at all. If a company decides to publish games on this movie I will not get suprised as it carries all the videogames elements. Good work. Please make more fantasy movies like this",positive
"If you decide to watch Wild Rebels, don't expect anything deep and meaningful. If you're looking for a film that explores the relationships and structure of a motorcycle gang, Wild Rebels is the wrong movie. If you're looking for an expose on the breakdown of the American educational system and the problem of juvenile delinquency, Wild Rebels is the wrong movie. If you're looking for a movie that examines how undermanned rural police departments are when facing a well-financed, well-organized gang, Wild Rebels is the wrong movie. But if you're looking for an absurd movie filled with scene after scene of unintentional humor, horrendous acting, a paper-thin plot, and community theater style production values, Wild Rebels is the right movie.<br /><br />Wild Rebels is the story of a down-on-his-luck stock-car driver named Rod Tillman (Steve Alaimo). After a fiery crash (which Rod walks away from completely unscathed despite having only a cotton pants and a London Fog style jacket for protection), Rod decides to give it up. With no plan for his future other than to wander aimless through the back-roads of the South, he stumbles on the Satan's Angels motorcycle gang (a gang being three of the stupidest guys to ever zip up a leather jacket and a woman they seem to share). This group of hoodlums spends their time terrorizing a rural town in Florida by committing such atrocities as stealing a newspaper from a neighbor's mailbox. These bumbling idiots need someone to act as their driver during some larger crimes they have planned. Apparently, these three Einsteins can only drive vehicles with two tires, not four. So they recruit Rod to perform feats of daring that only an experienced stunt driver would be capable of like keeping the car in the middle of a gravel road during a low-speed chase. Eventually, they hold-up a bank, get into the aforementioned low-speed chase, and have the lamest gun battle with the police ever put on film. I could go on forever, but you get the idea.<br /><br />I hate the term ""so bad it's good"", but that seems to aptly describe Wild Rebels.",negative
"For me personally this film goes down in my top four of all time. No exceptions. James Cameron has proved himself time and time again that he is a master storyteller. Through films such as Aliens, The Abyss and both Terminators it is clear that he was a brilliant and confidant director as far as action and science-fiction goes. He sees a story and adds a strange quality to the film. But Titanic is so much different to his other strokes of brilliance. The film is exceptionally moving and allows room for surprises, plot development and interesting character developments in a story that everyone knows. The story of the famed voyager sinking on her maiden voyage is legend so the challenge was for Cameron to make a truthful, interesting and entertaining film about it. The acting is wonderful as Leonardo DiCaprio who plays Jack and Kate Winslet who plays Rose became superstars overnight with the release of this film and in most films I get annoyed when the supporting characters aren't given a lot to do but in this film it is more purposeful because as an elderly Rose (Gloria Stuart) tells her story it is quickly apparent that it is Rose's and Jack's story alone, no one else. Emotionally it is entirely satisfying and can leave no dry eye in a theater or home. The music has become iconic and legendary. It is composer James Horner's finest soundtrack ever and evokes so much from the film and the audience. The song after so long has become annoying but I still appreciate it for the phenomenon it is and this film is. Only one problem, the usual James Cameron problem, is the dialogue which is memorable but in a bad way as in how cheesy it is at points but all that aside. James Cameron has delivered a masterpiece and a romantic epic that sweeps you away on a journey of a lifetime. My heart won't go on from this one.",positive
